iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,effort,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
59,1.1648590564727783,-544.8765775834809,5.363406987027282,-537.9172936459779,-551.5293746203358,0.125,0.16430199375572518,0.1,0.03333568572998047,0.0700984001159668,0.05019327,0.59501964,-538.9624534078399,-0.09289318119586024,-0.2172666827085233,0.125,0.060627868892608475,91,0.0030319690704345703,0.9998597408277997,0.9998597408277997,4683,-565.1071077239732,0.49999999999999994
60,1.1519999504089355,-543.5510950140238,9.242986525005044,-528.4787617346619,-553.6231649495303,0.125,0.15250313310540423,0.1,0.0023298263549804688,0.047716379165649414,0.049683318,0.9839432,-539.4213175684583,-0.10995583413681535,-0.20821784980012642,0.125,0.060673699220338946,81,0.0018525123596191406,0.9998596087617707,0.9998596087617707,4764,-565.4669307156208,0.49999999999999994
61,1.1690952777862549,-540.527454379215,5.279660074244288,-533.3436187236197,-546.7133225317792,0.375,0.16012234232718553,0.1,0.002557039260864258,0.04956650733947754,0.050200168,0.65209603,-539.5319312495341,-0.1074671594588839,-0.1940788506217536,0.375,0.062468571973585324,88,0.002907276153564453,0.9998591586768204,0.9998591586768204,4852,-569.8828840647407,0.49999999999999994
62,1.1862444877624512,-539.5389079363251,9.291476227528678,-530.8686493795911,-555.1685841956388,0.25,0.14379238051878004,0.1,0.0343937873840332,0.09377789497375488,0.05061686,0.8506175,-539.5326289182132,-0.1113802127259653,-0.1889867398386307,0.25,0.06092483935651748,71,0.002880573272705078,0.9998607323893726,0.9998607323893726,4923,-572.9670856405447,0.49999999999999994
63,1.205916166305542,-542.8050864083898,15.31789386831703,-530.330455545988,-568.6810857685155,0.5,0.15020332086579033,0.1,0.029868602752685547,0.23646950721740723,0.04999569,1.0680456,-539.8598746672309,-0.10621687018981599,-0.20491575011044874,0.5,0.06296552689571489,85,0.00515294075012207,0.9998595287517287,0.9998595287517287,5008,-569.1493258909582,0.49999999999999994
64,1.0838661193847656,-540.1128852547738,3.2262219537036994,-535.2195822588185,-543.8507597647933,0.25,0.15273554137139533,0.1,0.002616405487060547,0.049819231033325195,0.049075656,0.74495715,-539.8851757259852,-0.10216679069992013,-0.1928090782377847,0.25,0.061814532110271776,80,0.002931833267211914,0.9998610885387048,0.9998610885387048,5088,-561.9925126365791,0.49999999999999994
65,1.1859405040740967,-534.3853615007894,6.688621853072405,-523.014757383223,-540.2635722438196,0.5,0.14976061224544943,0.1,0.028609514236450195,0.05413675308227539,0.050911095,0.85064024,-539.3351943034656,-0.10449109472950209,-0.16324581313614236,0.5,0.06001559365682196,78,0.0027832984924316406,0.9998577972491326,0.9998577972491326,5166,-558.2229225016312,0.49999999999999994
66,1.1103873252868652,-550.2456892223619,3.2331894732199022,-544.8956700849046,-553.5678591690098,0.0,0.15651101903569434,0.1,0.03041839599609375,0.11966228485107422,0.05010617,0.9453927,-540.4262437953553,-0.11074133237005321,-0.24229348031316827,0.0,0.06140619461421146,85,0.012248516082763672,0.9998594003129239,0.9998594003129239,5251,-556.7385136201652,0.49999999999999994
67,1.1186270713806152,-535.2649514678238,3.197120705492535,-530.9619313837275,-538.3721041447754,0.375,0.14621834254725216,0.1,0.03429436683654785,0.16457247734069824,0.049276076,0.9364331,-539.9101145626021,-0.11665373065101602,-0.1672695998578388,0.375,0.062328766839492955,69,0.00721287727355957,0.9998585977132891,0.9998585977132891,5320,-552.9866117813934,0.49999999999999994
68,1.1344659328460693,-539.1485427311472,6.915469975608055,-531.4669956357532,-549.8818597701537,0.375,0.1454547215442717,0.1,0.030811071395874023,0.18785905838012695,0.049902897,0.6714067,-539.8339573794566,-0.10084189557549554,-0.18785292918196622,0.375,0.06169481198881055,77,0.002808094024658203,0.9998595542234225,0.9998595542234225,5397,-556.3429488666346,0.49999999999999994
